행정동,도로명주소,지번주소,위도,경도,데이터기준일자
양평제1동,서울특별시 영등포구 선유서로 103-3,서울특별시 영등포구 양평동2가 33-48,37.52491776,126.8857593,2023-09-01
양평제1동,서울특별시 영등포구 선유서로25길 16-1,서울특별시 영등포구 양평동2가 36-36,37.52467629,126.8840878,2023-09-01
양평제1동,서울특별시 영등포구 양산로 5,서울특별시 영등포구 양평동3가 30-17,37.5261043,126.8837386,2023-09-01
양평제1동,서울특별시 영등포구 양산로3길 7,서울특별시 영등포구 양평동3가 30-31,37.52642209,126.8850352,2023-09-01
양평제1동,서울특별시 영등포구 선유서로31길 1,서울특별시 영등포구 양평동3가 23-3,37.52638471,126.8861656,2023-09-01
양평제1동,서울특별시 영등포구 선유서로 127-1,서울특별시 영등포구 양평동3가 32-10,37.52712911,126.8864387,2023-09-01
양평제1동,서울특별시 영등포구 선유서로34길 11-2,서울특별시 영등포구 양평동3가 56-9,37.52741176,126.8875694,2023-09-01
양평제1동,서울특별시 영등포구 문래북로 57,서울특별시 영등포구 양평동1가 1-42,37.52091602,126.8915548,2023-09-01
양평제1동,서울특별시 영등포구 영등포로 14-3,서울특별시 영등포구 양평동2가 22-1,37.52277965,126.8833253,2023-09-01
양평제2동,서울특별시 영등포구 양평로28가길 50,서울특별시 영등포구 양평동6가 88,37.5441919,126.8890001,2023-09-01
양평제2동,서울특별시 영등포구 양평로28사길 31,서울특별시 영등포구 양평동6가 86,37.54387763,126.889187,2023-09-01
양평제2동,서울특별시 영등포구 양평로30나길 12,서울특별시 영등포구 양평동6가 65-1,37.54320674,126.889381,2023-09-01
양평제2동,서울특별시 영등포구 양평로30나길 6,서울특별시 영등포구 양평동6가 82-3,37.54286644,126.8887119,2023-09-01
양평제2동,서울특별시 영등포구 양평로28사길 9,서울특별시 영등포구 양평동6가 20,37.54296634,126.8912982,2023-09-01
양평제2동,서울특별시 영등포구 양평로28길 33,서울특별시 영등포구 양평동6가 20-5,37.542441,126.8919326,2023-09-01
양평제2동,서울특별시 영등포구 양평로22사길 35,서울특별시 영등포구 양평동5가 131-7,37.54222583,126.892604,2023-09-01
양평제2동,서울특별시 영등포구 양평로24길 32,서울특별시 영등포구 양평동5가 121-7,37.54084659,126.8946205,2023-09-01
양평제2동,서울특별시 영등포구 양평로22바길 6,서울특별시 영등포구 양평동5가 124-7,37.54042075,126.8950874,2023-09-01
양평제2동,서울특별시 영등포구 양평로24길 16,서울특별시 영등포구 양평동5가 94,37.53963873,126.8937405,2023-09-01
양평제2동,서울특별시 영등포구 선유로53길 34-14,서울특별시 영등포구 양평동4가 210-3,37.53887419,126.8956046,2023-09-01
양평제2동,서울특별시 영등포구 선유로53길 34-1,서울특별시 영등포구 양평동4가 205,37.53852224,126.8949772,2023-09-01
양평제2동,서울특별시 영등포구 선유로53길 19-1,서울특별시 영등포구 양평동4가 169,37.53764129,126.8962551,2023-09-01
양평제2동,서울특별시 영등포구 양평로18길 14,서울특별시 영등포구 양평동4가 276-1,37.53761878,126.8974011,2023-09-01
양평제2동,서울특별시 영등포구 양평로18길 19,서울특별시 영등포구 양평동4가 322-1,37.53825681,126.8976483,2023-09-01
양평제2동,서울특별시 영등포구 선유로55길 5,서울특별시 영등포구 양평동4가 266-6,37.53761302,126.8982451,2023-09-01
양평제2동,서울특별시 영등포구 선유로 277-5,서울특별시 영등포구 양평동4가 275-2,37.53727129,126.8979575,2023-09-01
양평제2동,서울특별시 영등포구 양평로30길 4-1,서울특별시 영등포구 양평동6가 7,37.54034226,126.889743,2023-09-01
양평제2동,서울특별시 영등포구 선유로47길 15,서울특별시 영등포구 양평동4가 22-1,37.53540554,126.8950227,2023-09-01
양평제2동,서울특별시 영등포구 양평로28라길 2,서울특별시 영등포구 양평동6가 13-6,37.54177201,126.8914419,2023-09-01
양평제2동,서울특별시 영등포구 양평로24길 3,서울특별시 영등포구 양평동5가 53,37.5388942,126.8927986,2023-09-01
양평제2동,서울특별시 영등포구 양평로14길 9,서울특별시 영등포구 양평동4가 278-3,37.53625965,126.8995372,2023-09-01
양평제2동,서울특별시 영등포구 선유동2로 71,서울특별시 영등포구 양평동4가 33-4,37.53498142,126.8982921,2023-09-01
신길제1동,서울특별시 영등포구 영등포로74길 14,서울특별시 영등포구 신길동 95-51,37.51330528,126.9186287,2023-09-01
신길제1동,서울특별시 영등포구 영등포로84길 38,서울특별시 영등포구 신길동 456-7,37.50996203,126.9219778,2023-09-01
신길제1동,서울특별시 영등포구 여의대방로47다길 16-9,서울특별시 영등포구 신길동 465-16,37.51080085,126.9214242,2023-09-01
신길제1동,서울특별시 영등포구 영등포로84길 24-14,서울특별시 영등포구 신길동 466-3,37.51157802,126.9214969,2023-09-01
신길제1동,서울특별시 영등포구 도신로62길 36,서울특별시 영등포구 신길동 124-10,37.50936967,126.9197696,2023-09-01
신길제1동,서울특별시 영등포구 도신로62길 26-1,서울특별시 영등포구 신길동 124-30,37.51008587,126.9189675,2023-09-01
